"Literacy rate, adult (% ages 15 and older)"
"Dimension: Education"
"SDG 4.6 By 2030, ensure that all youth and a substantial proportion of adults, both men and women,achieve literacy and numeracy"
"Definition: Percentage of the population ages 15 and older that can, with understanding, both read and write a short simple statement on everyday life."
"Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2020). Data Centre. http://data.uis.unesco.org. Accessed 21 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2008-2018",""
"169"," Afghanistan","..","","..","","..","","..","","..","","31.7","","..","","..","","..","","..","","..","","..","","43.0","","43.0","a"
"69"," Albania","..","","..","","..","","..","","..","","96.8","","97.2","","..","","..","","..","","..","","..","","98.1","","98.1","a"
"91"," Algeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","81.4","","81.4","a"
"148"," Angola","..","","..","","..","","..","","..","","..","","..","","..","","66.0","","..","","..","","..","","..","","66.0","a"
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","99.0","","..","","..","","..","","99.0","","..","","..","","..","","99.0","a"
"46"," Argentina","..","","..","","..","","..","","99.0","","99.1","","99.1","","99.1","","99.0","","99.2","","99.1","","..","","99.0","","99.0","a"
"81"," Armenia","..","","..","","..","","..","","..","","99.7","","..","","..","","..","","..","","..","","99.7","","..","","99.7","a"
"88"," Azerbaijan","..","","..","","..","","..","","99.8","","99.8","","99.8","","99.8","","99.8","","99.8","","99.8","","99.8","","..","","99.8","a"
"42"," Bahrain","..","","..","","..","","..","","91.0","","..","","..","","..","","..","","..","","97.1","","97.4","","97.5","","97.5","a"
"133"," Bangladesh","..","","..","","..","","..","","..","","58.8","","57.9","","61.0","","61.1","","65.1","","72.8","","72.9","","73.9","","73.9","a"
"58"," Barbados","..","","..","","..","","..","","..","","..","","..","","..","","99.6","","..","","..","","..","","..","","99.6","a"
"53"," Belarus","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","99.8","","99.8","a"
"158"," Benin","..","","..","","..","","..","","..","","..","","32.9","","..","","..","","..","","..","","..","","42.4","","42.4","a"
"129"," Bhutan","..","","..","","..","","52.8","","..","","..","","57.0","","..","","..","","..","","..","","66.6","","..","","66.6","a"
"107"," Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","92.2","","94.5","","..","","..","","92.5","","..","","..","","..","","92.5","a"
"73"," Bosnia and Herzegovina","..","","..","","96.7","","..","","..","","98.1","","..","","97.0","","..","","..","","..","","..","","..","","97.0","a"
"100"," Botswana","..","","..","","..","","..","","..","","..","","..","","86.8","","..","","..","","..","","..","","..","","86.8","a"
"84"," Brazil","..","","..","","86.4","","..","","90.4","","91.4","","91.3","","91.5","","91.7","","92.0","","92.8","","93.1","","93.2","","93.2","a"
"47"," Brunei Darussalam","..","","..","","..","","..","","..","","96.1","","..","","..","","..","","..","","..","","..","","97.2","","97.2","a"
"56"," Bulgaria","..","","..","","..","","..","","..","","98.4","","..","","..","","..","","..","","..","","..","","..","","98.4","a"
"182"," Burkina Faso","..","","..","","..","","23.6","","..","","..","","..","","..","","34.6","","..","","..","","..","","41.2","","41.2","a"
"185"," Burundi","37.4","","..","","59.3","","..","","..","","..","","..","","..","","61.6","","..","","..","","68.4","","..","","68.4","a"
"126"," Cabo Verde","62.8","","..","","76.1","","..","","..","","..","","85.3","","..","","..","","86.8","","..","","..","","..","","86.8","a"
"144"," Cambodia","..","","..","","..","","..","","..","","..","","..","","..","","78.1","","80.5","","..","","..","","..","","80.5","a"
"153"," Cameroon","..","","..","","68.4","","..","","71.3","","..","","..","","..","","..","","..","","..","","..","","77.1","","77.1","a"
"188"," Central African Republic","..","","..","","50.6","","..","","36.8","","..","","..","","..","","..","","..","","..","","..","","37.4","","37.4","a"
"187"," Chad","..","","..","","25.7","","..","","..","","..","","..","","..","","..","","26.0","","22.3","","..","","..","","22.3","a"
"43"," Chile","..","","..","","..","","..","","..","","96.7","","..","","96.3","","..","","96.9","","..","","96.4","","..","","96.4","a"
"85"," China","77.8","","..","","90.9","","..","","95.1","","..","","..","","..","","..","","..","","..","","..","","96.8","","96.8","a"
"83"," Colombia","..","","..","","..","","92.8","","93.4","","93.6","","..","","..","","94.2","","94.2","","94.7","","..","","95.1","","95.1","a"
"156"," Comoros","..","","..","","68.5","","..","","..","","..","","49.2","","..","","..","","..","","..","","..","","58.8","","58.8","a"
"149"," Congo","..","","..","","..","","..","","..","","79.3","","..","","..","","..","","..","","..","","..","","80.3","","80.3","a"
"175"," Congo (Democratic Republic of the)","..","","..","","..","","..","","..","","..","","75.0","","..","","..","","..","","77.0","","..","","..","","77.0","a"
"62"," Costa Rica","..","","..","","94.9","","..","","..","","97.4","","..","","..","","..","","..","","..","","..","","97.9","","97.9","a"
"43"," Croatia","..","","..","","..","","..","","..","","99.1","","..","","..","","..","","..","","..","","..","","..","","99.1","a"
"70"," Cuba","..","","..","","..","","..","","..","","..","","99.8","","..","","..","","..","","..","","..","","..","","99.8","a"
"33"," Cyprus","..","","..","","..","","..","","..","","98.7","","..","","..","","..","","..","","..","","..","","..","","98.7","a"
"162"," Côte d'Ivoire","..","","..","","48.7","","..","","..","","..","","41.0","","..","","43.9","","..","","..","","..","","47.2","","47.2","a"
"88"," Dominican Republic","..","","..","","..","","..","","89.5","","90.1","","90.2","","90.9","","91.8","","92.0","","93.8","","..","","..","","93.8","a"
"86"," Ecuador","88.3","","..","","..","","..","","91.9","","91.6","","92.1","","93.3","","94.2","","94.5","","94.3","","92.8","","..","","92.8","a"
"116"," Egypt","..","","..","","..","","71.4","","72.0","","..","","73.9","","75.1","","..","","..","","..","","71.2","","..","","71.2","a"
"124"," El Salvador","..","","..","","..","","..","","84.5","","85.5","","..","","86.8","","..","","88.0","","88.1","","88.5","","89.0","","89.0","a"
