"Gross enrolment ratio, tertiary (% of tertiary school-age population)"
"Dimension: Education"
"SDG 4.3 By 2030, ensure equal access for all women and men to affordable and quality technical,vocational and tertiary education, including university"
"Definition: Total enrolment in a given level of education (pre-primary, primary, secondary or tertiary), regardless of age, expressed as a percentage of the official school-age population for the same level of education."
"Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2020). Data Centre. http://data.uis.unesco.org. Accessed 21 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2014-2019",""
"162"," Côte d'Ivoire","..","","4","","..","","..","","8","","3","","..","","8","","8","","9","","9","","9","","..","","..","","9","a"
"10"," Denmark","34","","45","","57","","80","","74","","77","","79","","81","","81","","82","","81","","81","","..","","..","","81","a"
"166"," Djibouti","..","","..","","0","","2","","4","","5","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"88"," Dominican Republic","..","","..","","..","","..","","..","","..","","49","","..","","49","","52","","54","","60","","..","","..","","60","a"
"86"," Ecuador","19","","18","","..","","..","","..","","..","","40","","40","","..","","45","","..","","..","","..","","..","","45","a"
"116"," Egypt","14","","..","","..","","30","","31","","27","","28","","30","","31","","35","","34","","35","","..","","..","","35","a"
"124"," El Salvador","16","","22","","21","","23","","26","","27","","28","","28","","28","","28","","28","","29","","29","","..","","29","a"
"145"," Equatorial Guinea","..","","..","","2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"180"," Eritrea","..","","2","","2","","..","","3","","..","","..","","..","","4","","3","","3","","..","","..","","..","","3","a"
"29"," Estonia","25","","25","","55","","68","","68","","70","","72","","74","","73","","72","","71","","70","","..","","..","","70","a"
"138"," Eswatini (Kingdom of)","4","","..","","4","","5","","..","","8","","..","","7","","..","","..","","..","","..","","..","","..","","..",""
"173"," Ethiopia","1","","1","","1","","3","","7","","8","","8","","..","","8","","..","","..","","..","","..","","..","","8","a"
"93"," Fiji","..","","..","","..","","16","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"11"," Finland","44","","67","","82","","92","","93","","95","","93","","91","","89","","88","","87","","88","","..","","..","","88","a"
"26"," France","37","","50","","51","","54","","55","","56","","58","","60","","62","","63","","65","","66","","..","","..","","66","a"
"119"," Gabon","5","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"172"," Gambia","..","","2","","..","","..","","2","","3","","3","","..","","..","","..","","..","","..","","..","","..","","..",""
"61"," Georgia","..","","43","","39","","51","","33","","35","","32","","38","","42","","46","","52","","57","","60","","64","","64","a"
"6"," Germany","..","","45","","..","","..","","..","","..","","..","","61","","66","","68","","70","","70","","..","","..","","70","a"
"138"," Ghana","..","","..","","..","","6","","..","","12","","12","","14","","15","","16","","16","","16","","16","","..","","16","a"
"32"," Greece","24","","36","","51","","85","","104","","109","","114","","116","","122","","..","","132","","137","","..","","..","","137","a"
"74"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","96","","96","","100","","105","","..","","105","a"
"127"," Guatemala","..","","8","","..","","..","","..","","..","","..","","20","","18","","22","","..","","..","","..","","..","","22","a"
"178"," Guinea","1","","1","","..","","3","","11","","11","","11","","11","","12","","..","","..","","..","","..","","..","","12","a"
"175"," Guinea-Bissau","..","","..","","..","","2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"122"," Guyana","5","","9","","..","","12","","12","","12","","12","","..","","..","","..","","..","","..","","..","","..","","..",""
"132"," Honduras","9","","10","","13","","..","","20","","..","","19","","20","","20","","20","","21","","24","","26","","..","","26","a"
"4"," Hong Kong, China (SAR)","..","","..","","..","","34","","60","","62","","61","","67","","69","","70","","72","","74","","77","","..","","77","a"
"40"," Hungary","15","","22","","36","","65","","64","","63","","61","","57","","52","","49","","48","","49","","..","","..","","49","a"
"4"," Iceland","26","","35","","46","","70","","79","","81","","82","","80","","81","","76","","74","","72","","..","","..","","72","a"
"131"," India","6","","6","","10","","11","","18","","23","","24","","24","","25","","27","","27","","27","","28","","..","","28","a"
"107"," Indonesia","8","","11","","15","","17","","24","","26","","30","","31","","31","","33","","35","","36","","36","","..","","36","a"
"70"," Iran (Islamic Republic of)","..","","16","","19","","24","","44","","50","","56","","59","","67","","..","","70","","68","","..","","..","","68","a"
"123"," Iraq","..","","..","","12","","16","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"2"," Ireland","28","","36","","49","","59","","63","","68","","68","","72","","74","","77","","78","","78","","..","","..","","78","a"
"19"," Israel","34","","40","","50","","59","","66","","67","","69","","67","","67","","65","","65","","63","","..","","..","","63","a"
"29"," Italy","30","","41","","50","","64","","66","","66","","64","","62","","62","","61","","61","","62","","..","","..","","62","a"
"101"," Jamaica","..","","..","","15","","19","","27","","26","","29","","27","","..","","27","","..","","..","","..","","..","","27","a"
"102"," Jordan","19","","18","","27","","37","","37","","36","","42","","..","","..","","37","","36","","31","","34","","..","","34","a"
"51"," Kazakhstan","40","","36","","32","","..","","46","","49","","52","","50","","49","","46","","47","","50","","54","","62","","62","a"
"143"," Kenya","..","","..","","3","","3","","..","","..","","..","","..","","..","","9","","11","","11","","..","","..","","11","a"
".."," Korea (Democratic People's Rep. of)","..","","..","","..","","..","","..","","30","","..","","..","","..","","28","","..","","..","","27","","..","","27","a"
"23"," Korea (Republic of)","37","","48","","77","","92","","103","","101","","97","","96","","95","","94","","94","","94","","..","","..","","94","a"
"64"," Kuwait","12","","21","","..","","..","","..","","..","","..","","..","","51","","55","","57","","55","","54","","..","","54","a"
"120"," Kyrgyzstan","27","","21","","35","","43","","42","","41","","44","","47","","46","","47","","45","","43","","41","","..","","41","a"
"137"," Lao People's Democratic Republic","1","","2","","3","","8","","17","","18","","18","","19","","18","","18","","17","","16","","15","","..","","15","a"
"37"," Latvia","26","","23","","56","","75","","69","","68","","67","","69","","71","","74","","81","","88","","..","","..","","88","a"
"165"," Lesotho","1","","2","","2","","3","","..","","..","","11","","11","","11","","10","","..","","11","","10","","..","","10","a"
"175"," Liberia","..","","..","","20","","..","","10","","..","","12","","..","","..","","..","","..","","..","","..","","..","","..",""
"105"," Libya","11","","..","","48","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","25","","36","","44","","42","","..","","37","","34","","35","","36","","..","","..","","36","a"
"34"," Lithuania","33","","26","","51","","80","","87","","84","","80","","74","","70","","70","","71","","72","","..","","..","","72","a"
"23"," Luxembourg","..","","7","","10","","..","","18","","..","","19","","..","","..","","20","","20","","19","","..","","..","","19","a"
"164"," Madagascar","3","","2","","2","","3","","4","","4","","4","","4","","5","","5","","5","","5","","5","","..","","5","a"
"174"," Malawi","1","","1","","0","","0","","1","","1","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62"," Malaysia","7","","11","","26","","28","","37","","36","","38","","39","","40","","46","","47","","44","","45","","..","","45","a"
"95"," Maldives","..","","..","","..","","..","","..","","..","","..","","..","","13","","..","","..","","31","","..","","..","","31","a"
"184"," Mali","1","","1","","2","","..","","6","","5","","7","","6","","6","","6","","4","","5","","..","","..","","5","a"
"28"," Malta","10","","21","","22","","32","","37","","40","","42","","44","","44","","47","","49","","54","","..","","..","","54","a"
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","24","","..","","..","","..","","..","","..","","..","","..","","..",""
"157"," Mauritania","3","","4","","..","","3","","4","","5","","5","","5","","..","","6","","5","","5","","..","","..","","5","a"
"66"," Mauritius","3","","6","","11","","21","","34","","35","","39","","40","","39","","37","","39","","41","","..","","..","","41","a"
"74"," Mexico","15","","15","","20","","24","","28","","28","","29","","30","","31","","32","","38","","40","","..","","..","","40","a"
"136"," Micronesia (Federated States of)","..","","..","","14","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"90"," Moldova (Republic of)","35","","30","","33","","36","","38","","39","","40","","41","","41","","41","","41","","41","","40","","..","","40","a"
"99"," Mongolia","18","","14","","30","","45","","54","","56","","59","","62","","64","","68","","64","","64","","66","","..","","66","a"
"48"," Montenegro","..","","..","","..","","22","","52","","..","","..","","..","","..","","..","","57","","58","","56","","..","","56","a"
"121"," Morocco","10","","12","","10","","12","","15","","16","","19","","23","","25","","28","","32","","34","","36","","..","","36","a"
"181"," Mozambique","..","","0","","1","","1","","5","","5","","5","","6","","6","","7","","7","","7","","7","","..","","7","a"
"147"," Myanmar","5","","5","","..","","..","","..","","14","","14","","..","","..","","..","","..","","..","","19","","..","","19","a"
"130"," Namibia","..","","7","","..","","7","","..","","..","","..","","..","","20","","21","","22","","23","","..","","..","","23","a"
"142"," Nepal","5","","4","","4","","8","","14","","14","","..","","17","","16","","15","","12","","12","","12","","..","","12","a"
"8"," Netherlands","36","","47","","52","","59","","64","","76","","77","","..","","..","","81","","80","","85","","..","","..","","85","a"
"14"," New Zealand","39","","58","","..","","..","","..","","..","","..","","77","","78","","81","","82","","82","","..","","..","","82","a"
"128"," Nicaragua","8","","11","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"189"," Niger","1","","..","","..","","1","","1","","1","","2","","..","","..","","3","","4","","4","","4","","..","","4","a"
"161"," Nigeria","..","","..","","..","","10","","10","","10","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"82"," North Macedonia","17","","19","","23","","29","","37","","..","","39","","38","","38","","41","","..","","42","","..","","..","","42","a"
"1"," Norway","38","","54","","69","","79","","73","","74","","74","","77","","78","","78","","81","","82","","..","","..","","82","a"
"60"," Oman","4","","6","","..","","18","","23","","27","","..","","30","","35","","39","","44","","38","","38","","..","","38","a"
"154"," Pakistan","3","","..","","..","","5","","..","","8","","9","","10","","10","","9","","9","","9","","9","","..","","9","a"
"50"," Palau","..","","..","","45","","..","","..","","..","","..","","55","","..","","..","","..","","..","","..","","..","","..",""
"115"," Palestine, State of","..","","..","","24","","41","","48","","50","","48","","46","","45","","45","","44","","44","","44","","..","","44","a"
"57"," Panama","21","","28","","41","","42","","44","","42","","44","","..","","45","","47","","48","","..","","..","","..","","48","a"
"155"," Papua New Guinea","..","","3","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"103"," Paraguay","8","","9","","16","","26","","35","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"79"," Peru","30","","27","","34","","33","","..","","..","","..","","..","","..","","..","","71","","71","","..","","..","","71","a"
"107"," Philippines","24","","27","","..","","28","","30","","31","","31","","34","","36","","..","","..","","35","","..","","..","","35","a"
"35"," Poland","20","","31","","50","","64","","75","","75","","74","","72","","68","","67","","67","","68","","..","","..","","68","a"
"38"," Portugal","20","","36","","48","","55","","66","","68","","69","","66","","66","","62","","63","","64","","..","","..","","64","a"
"45"," Qatar","20","","22","","..","","17","","9","","11","","11","","12","","14","","15","","16","","17","","18","","..","","18","a"
"49"," Romania","8","","13","","24","","46","","64","","58","","50","","47","","47","","47","","48","","49","","..","","..","","49","a"
"52"," Russian Federation","55","","43","","56","","73","","..","","76","","76","","78","","78","","80","","81","","82","","..","","..","","82","a"
"160"," Rwanda","1","","..","","1","","3","","6","","7","","7","","7","","7","","8","","8","","7","","7","","..","","7","a"
"74"," Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","85","","87","","..","","..","","..","","..","","87","a"
"86"," Saint Lucia","..","","..","","..","","13","","12","","16","","10","","14","","16","","16","","19","","20","","14","","..","","14","a"
"97"," Saint Vincent and the Grenadines","6","","..","","..","","..","","..","","..","","..","","..","","24","","24","","..","","..","","..","","..","","24","a"
"111"," Samoa","..","","..","","8","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
".."," San Marino","..","","..","","53","","..","","58","","56","","50","","..","","..","","..","","..","","..","","42","","..","","42","a"
"135"," Sao Tome and Principe","..","","..","","..","","..","","4","","..","","8","","..","","10","","13","","..","","..","","..","","..","","13","a"
"40"," Saudi Arabia","10","","17","","22","","30","","37","","40","","47","","52","","58","","61","","67","","70","","68","","..","","68","a"
