"Government expenditure on education (% of GDP)"
"Dimension: Education"
"SDG 1.a Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions"
"Definition: Current, capital and transfer spending on education, expressed as a percentage of GDP."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2013-2018",""
"175"," Congo (Democratic Republic of the)","..","","..","","..","","..","","1.5","","..","","..","","2.1","","2.0","","2.2","","2.1","","1.5","","..","","1.5","a"
"62"," Costa Rica","..","","3.4","","4.7","","..","","6.6","","6.5","","6.7","","6.8","","6.9","","7.1","","7.1","","7.4","","7.0","","7.0","a"
"43"," Croatia","..","","..","","..","","..","","4.2","","4.1","","..","","4.6","","..","","..","","..","","..","","..","","4.6","a"
"70"," Cuba","..","","..","","7.7","","10.6","","12.8","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"33"," Cyprus","3.3","","3.7","","5.0","","6.3","","6.6","","6.6","","..","","6.4","","6.4","","6.4","","6.3","","..","","..","","6.3","a"
"27"," Czechia","..","","4.5","","3.7","","3.9","","4.1","","4.3","","4.3","","4.1","","4.0","","5.8","","5.6","","..","","..","","5.6","a"
"162"," Côte d'Ivoire","..","","4.3","","3.7","","4.1","","4.6","","4.1","","4.7","","4.7","","4.6","","4.8","","5.4","","5.1","","4.4","","4.4","a"
"10"," Denmark","..","","7.5","","8.1","","8.1","","8.6","","8.5","","7.2","","8.5","","7.6","","..","","..","","..","","..","","7.6","a"
"166"," Djibouti","..","","..","","9.7","","8.4","","4.5","","..","","..","","..","","..","","5.3","","5.8","","5.6","","5.6","","5.6","a"
"94"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","3.4","","..","","..","","..","","3.4","a"
"88"," Dominican Republic","..","","1.0","","1.9","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"86"," Ecuador","..","","2.0","","1.2","","..","","4.5","","4.7","","4.6","","5.0","","5.3","","5.0","","..","","..","","..","","5.0","a"
"116"," Egypt","..","","4.6","","..","","4.8","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"124"," El Salvador","..","","..","","2.8","","3.2","","4.0","","3.9","","3.7","","3.8","","3.8","","3.9","","3.8","","3.7","","3.6","","3.6","a"
"29"," Estonia","..","","6.1","","5.3","","4.8","","5.5","","5.0","","4.7","","4.8","","5.4","","5.1","","5.2","","..","","..","","5.2","a"
"138"," Eswatini (Kingdom of)","5.5","","5.7","","5.5","","6.5","","6.1","","6.9","","..","","..","","7.1","","..","","..","","..","","..","","7.1","a"
"173"," Ethiopia","..","","..","","4.0","","..","","4.5","","5.5","","5.6","","4.5","","4.6","","4.7","","..","","..","","..","","4.7","a"
"93"," Fiji","..","","..","","5.9","","5.1","","..","","4.2","","..","","3.9","","..","","..","","..","","..","","..","","3.9","a"
"11"," Finland","5.3","","6.8","","5.7","","6.0","","6.5","","6.5","","7.2","","7.2","","7.2","","7.1","","6.9","","..","","..","","6.9","a"
"26"," France","4.5","","5.8","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"119"," Gabon","..","","..","","3.8","","..","","3.1","","3.0","","3.0","","3.0","","2.7","","..","","..","","..","","..","","2.7","a"
"172"," Gambia","2.8","","2.6","","1.5","","1.1","","4.2","","3.9","","4.1","","1.8","","2.2","","2.1","","2.1","","..","","2.4","","2.4","a"
"61"," Georgia","..","","..","","2.2","","2.5","","..","","2.7","","2.0","","..","","..","","..","","3.8","","3.9","","..","","3.9","a"
"6"," Germany","..","","4.4","","..","","..","","4.9","","4.8","","4.9","","4.9","","4.9","","4.8","","4.8","","..","","..","","4.8","a"
"138"," Ghana","..","","..","","..","","7.4","","5.5","","8.1","","7.9","","4.6","","4.5","","4.5","","4.5","","3.6","","4.0","","4.0","a"
"32"," Greece","2.0","","..","","3.2","","4.0","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","3.2","","..","","3.2","a"
"127"," Guatemala","..","","1.6","","..","","..","","2.8","","2.9","","3.0","","2.8","","2.9","","3.0","","2.8","","2.8","","2.9","","2.9","a"
"178"," Guinea","..","","..","","2.6","","1.8","","2.6","","2.3","","1.8","","2.6","","2.4","","2.5","","2.5","","2.4","","2.6","","2.6","a"
"175"," Guinea-Bissau","..","","..","","..","","..","","1.9","","1.9","","2.0","","2.1","","..","","..","","..","","..","","..","","2.1","a"
"122"," Guyana","..","","3.6","","8.5","","8.1","","3.6","","3.6","","3.2","","..","","5.8","","5.2","","6.1","","6.2","","5.9","","5.9","a"
"170"," Haiti","..","","..","","..","","..","","..","","..","","..","","..","","3.0","","3.2","","2.5","","2.7","","2.8","","2.8","a"
"132"," Honduras","..","","2.6","","..","","..","","..","","..","","..","","5.9","","7.1","","6.4","","..","","..","","6.1","","6.1","a"
"4"," Hong Kong, China (SAR)","2.5","","..","","..","","4.1","","3.5","","3.4","","3.5","","3.8","","3.6","","3.3","","3.3","","3.3","","3.3","","3.3","a"
"40"," Hungary","..","","4.8","","4.9","","5.3","","4.8","","4.6","","4.2","","4.2","","4.6","","4.6","","4.7","","..","","..","","4.7","a"
"4"," Iceland","4.3","","4.8","","6.4","","7.4","","7.0","","6.8","","7.6","","7.5","","7.7","","7.5","","7.5","","..","","..","","7.5","a"
"131"," India","..","","..","","4.3","","3.2","","3.4","","3.8","","3.9","","3.8","","..","","..","","..","","..","","..","","3.8","a"
"107"," Indonesia","..","","1.0","","..","","2.9","","2.8","","3.2","","3.4","","3.4","","3.3","","3.6","","..","","..","","..","","3.6","a"
"70"," Iran (Islamic Republic of)","3.8","","4.1","","4.0","","4.1","","3.7","","3.5","","3.2","","3.1","","2.8","","2.8","","3.4","","3.8","","4.0","","4.0","a"
"2"," Ireland","4.6","","4.9","","4.1","","4.5","","6.0","","5.9","","5.8","","5.3","","4.9","","3.8","","3.7","","..","","..","","3.7","a"
"19"," Israel","5.4","","..","","6.1","","5.8","","5.5","","5.6","","5.7","","5.9","","5.8","","5.9","","5.8","","..","","..","","5.8","a"
"29"," Italy","..","","4.3","","4.3","","4.2","","4.4","","4.1","","4.1","","4.2","","4.1","","4.1","","3.8","","..","","..","","3.8","a"
"101"," Jamaica","4.8","","3.4","","5.0","","4.6","","6.4","","6.3","","6.1","","6.3","","6.0","","5.5","","5.3","","5.3","","5.4","","5.4","a"
"19"," Japan","..","","..","","..","","..","","..","","..","","..","","3.7","","3.6","","..","","3.2","","..","","..","","3.2","a"
"102"," Jordan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","3.8","","3.5","","3.6","","3.6","a"
"51"," Kazakhstan","..","","4.0","","3.3","","2.3","","..","","..","","..","","..","","..","","2.8","","3.0","","2.8","","2.8","","2.8","a"
"143"," Kenya","..","","..","","5.2","","7.3","","5.5","","5.3","","5.5","","5.4","","5.3","","5.3","","5.4","","5.4","","5.3","","5.3","a"
"134"," Kiribati","..","","..","","11.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"23"," Korea (Republic of)","3.1","","3.0","","..","","..","","..","","..","","..","","..","","..","","..","","4.6","","..","","..","","4.6","a"
"64"," Kuwait","..","","..","","..","","4.7","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"120"," Kyrgyzstan","..","","6.2","","3.5","","4.9","","5.8","","6.8","","7.4","","6.8","","5.5","","6.0","","6.6","","6.0","","..","","6.0","a"
"137"," Lao People's Democratic Republic","..","","..","","1.5","","2.4","","1.7","","1.7","","1.8","","3.2","","2.9","","..","","..","","..","","..","","2.9","a"
"37"," Latvia","..","","..","","5.3","","..","","5.1","","4.9","","6.6","","7.0","","5.3","","5.3","","4.7","","..","","..","","4.7","a"
"92"," Lebanon","..","","2.2","","..","","2.6","","1.6","","1.6","","2.1","","2.4","","..","","..","","..","","..","","..","","2.4","a"
"165"," Lesotho","..","","8.6","","10.1","","12.1","","..","","..","","..","","..","","..","","..","","..","","7.4","","6.5","","6.5","a"
"175"," Liberia","..","","..","","..","","..","","..","","..","","1.8","","1.7","","2.3","","..","","..","","2.8","","2.6","","2.6","a"
"19"," Liechtenstein","..","","..","","..","","..","","..","","2.6","","..","","..","","..","","..","","..","","..","","..","","..",""
"34"," Lithuania","..","","4.8","","..","","4.9","","5.3","","5.1","","4.8","","4.6","","4.5","","4.2","","4.0","","..","","..","","4.0","a"
"23"," Luxembourg","..","","3.5","","..","","..","","..","","..","","4.1","","..","","4.0","","4.0","","..","","..","","..","","4.0","a"
"164"," Madagascar","..","","..","","2.9","","3.8","","..","","2.8","","2.7","","2.1","","2.8","","2.6","","3.2","","..","","3.2","","3.2","a"
"174"," Malawi","3.3","","4.0","","5.2","","..","","3.5","","4.2","","..","","5.4","","4.8","","5.6","","4.7","","4.0","","4.7","","4.7","a"
"62"," Malaysia","..","","4.3","","6.0","","..","","5.0","","5.8","","5.7","","5.5","","5.2","","5.0","","4.8","","4.7","","4.5","","4.5","a"
"95"," Maldives","..","","..","","..","","5.0","","4.1","","3.5","","3.8","","3.8","","3.5","","4.4","","4.1","","..","","..","","4.1","a"
"184"," Mali","..","","..","","3.0","","3.5","","3.3","","3.8","","3.5","","3.3","","3.6","","3.8","","3.1","","3.8","","..","","3.8","a"
"28"," Malta","3.8","","..","","..","","..","","6.5","","7.8","","6.5","","7.9","","7.2","","5.2","","..","","..","","..","","5.2","a"
"157"," Mauritania","..","","..","","..","","..","","3.6","","3.1","","2.8","","2.9","","..","","..","","2.6","","..","","..","","2.6","a"
"66"," Mauritius","3.2","","..","","3.8","","4.1","","3.6","","3.3","","3.4","","3.6","","4.9","","4.9","","5.0","","5.0","","4.8","","4.8","a"
"74"," Mexico","2.3","","3.7","","4.0","","4.8","","5.2","","5.1","","5.1","","4.7","","5.3","","5.2","","4.9","","..","","..","","4.9","a"
"136"," Micronesia (Federated States of)","..","","..","","6.7","","..","","..","","..","","..","","..","","..","","12.5","","..","","..","","..","","12.5","a"
"90"," Moldova (Republic of)","..","","..","","4.5","","7.2","","7.6","","7.1","","7.0","","..","","6.3","","..","","5.6","","5.6","","5.5","","5.5","a"
".."," Monaco","..","","1.1","","1.3","","..","","1.3","","1.6","","1.8","","1.3","","1.0","","..","","1.4","","1.5","","..","","1.5","a"
"99"," Mongolia","..","","..","","5.5","","..","","4.6","","4.6","","5.2","","4.9","","4.7","","4.2","","5.2","","4.1","","..","","4.1","a"
"121"," Morocco","4.5","","4.7","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"181"," Mozambique","..","","..","","..","","4.4","","..","","..","","6.1","","6.5","","..","","..","","6.4","","5.8","","5.6","","5.6","a"
"147"," Myanmar","..","","1.2","","..","","..","","..","","0.8","","..","","..","","..","","..","","..","","2.2","","2.0","","2.0","a"
"130"," Namibia","..","","..","","7.0","","..","","8.3","","..","","..","","..","","3.1","","..","","..","","..","","..","","3.1","a"
"142"," Nepal","..","","..","","3.0","","3.4","","3.6","","3.8","","3.8","","3.5","","4.0","","3.7","","4.4","","5.5","","5.2","","5.2","a"
"8"," Netherlands","5.2","","4.6","","4.6","","5.1","","5.5","","5.5","","5.4","","5.5","","5.5","","5.3","","5.5","","..","","..","","5.5","a"
"14"," New Zealand","..","","5.7","","..","","6.3","","7.0","","6.9","","7.2","","6.7","","6.3","","6.3","","6.4","","..","","..","","6.4","a"
"128"," Nicaragua","..","","..","","3.0","","..","","4.5","","..","","..","","..","","4.1","","4.1","","4.1","","4.3","","..","","4.3","a"
"189"," Niger","2.9","","2.9","","3.2","","..","","3.7","","4.2","","4.3","","4.9","","6.7","","6.0","","4.1","","3.5","","4.9","","4.9","a"
"82"," North Macedonia","..","","4.3","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"1"," Norway","6.3","","7.7","","6.5","","6.9","","6.7","","6.4","","7.4","","7.5","","7.7","","7.6","","8.0","","..","","..","","8.0","a"
"60"," Oman","2.8","","3.4","","3.2","","3.5","","..","","..","","..","","5.0","","..","","..","","..","","..","","..","","5.0","a"
"154"," Pakistan","2.5","","2.8","","1.8","","2.3","","2.3","","2.2","","2.1","","2.5","","2.5","","2.6","","3.0","","2.9","","..","","2.9","a"
"50"," Palau","..","","..","","8.1","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"115"," Palestine, State of","..","","..","","..","","..","","6.7","","5.7","","5.1","","5.3","","..","","5.1","","5.7","","5.3","","..","","5.3","a"
"57"," Panama","..","","3.9","","4.8","","..","","..","","3.2","","..","","..","","..","","..","","..","","..","","..","","..",""
"155"," Papua New Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","2.0","","1.9","","1.9","a"
"103"," Paraguay","1.0","","..","","4.2","","..","","2.8","","3.7","","3.7","","..","","..","","..","","3.4","","..","","..","","3.4","a"
"79"," Peru","..","","..","","3.2","","2.8","","2.9","","2.7","","2.9","","3.3","","3.7","","4.0","","3.8","","3.9","","3.7","","3.7","a"
"107"," Philippines","..","","3.0","","3.3","","2.4","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"35"," Poland","..","","4.3","","5.0","","5.4","","5.1","","4.8","","4.8","","4.9","","4.9","","4.8","","4.6","","..","","..","","4.6","a"
"38"," Portugal","3.6","","4.6","","5.2","","5.1","","5.4","","5.1","","4.9","","5.3","","5.1","","4.9","","..","","..","","..","","4.9","a"
"45"," Qatar","..","","..","","3.7","","4.0","","4.5","","4.0","","3.5","","4.1","","3.6","","..","","..","","2.9","","..","","2.9","a"
"49"," Romania","..","","..","","2.9","","3.5","","3.5","","3.1","","3.0","","..","","3.1","","3.1","","3.0","","..","","..","","3.0","a"
"52"," Russian Federation","..","","..","","2.9","","3.8","","..","","..","","3.8","","3.8","","4.0","","3.8","","3.7","","..","","..","","3.7","a"
"160"," Rwanda","..","","..","","3.9","","..","","4.9","","4.6","","4.6","","4.9","","4.3","","3.8","","3.5","","3.2","","3.1","","3.1","a"
"74"," Saint Kitts and Nevis","..","","2.6","","4.6","","3.6","","..","","..","","..","","..","","..","","2.6","","..","","..","","..","","2.6","a"
"86"," Saint Lucia","..","","..","","..","","4.7","","3.8","","3.8","","3.6","","4.3","","4.4","","4.4","","5.7","","..","","3.7","","3.7","a"
"97"," Saint Vincent and the Grenadines","..","","..","","7.9","","6.4","","5.1","","..","","..","","..","","..","","..","","5.8","","5.8","","5.7","","5.7","a"
"111"," Samoa","..","","..","","3.6","","..","","..","","..","","..","","..","","..","","..","","4.1","","..","","..","","4.1","a"
".."," San Marino","..","","..","","..","","..","","2.3","","2.4","","..","","..","","..","","..","","..","","3.1","","..","","3.1","a"
"135"," Sao Tome and Principe","..","","..","","..","","4.9","","9.7","","..","","6.3","","5.9","","3.7","","3.9","","5.2","","5.1","","5.1","","5.1","a"
"40"," Saudi Arabia","..","","5.7","","5.9","","5.4","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"168"," Senegal","..","","..","","2.5","","4.1","","5.2","","4.9","","4.7","","5.7","","5.7","","5.5","","5.1","","4.6","","4.7","","4.7","a"
"64"," Serbia","..","","..","","..","","..","","4.3","","4.2","","4.2","","..","","3.9","","3.8","","3.6","","3.7","","..","","3.7","a"
"67"," Seychelles","..","","7.7","","..","","..","","..","","3.6","","2.6","","3.6","","4.1","","..","","4.4","","..","","..","","4.4","a"
"182"," Sierra Leone","..","","..","","4.9","","2.8","","2.6","","2.7","","2.9","","2.4","","2.7","","..","","3.1","","4.6","","7.1","","7.1","a"
"11"," Singapore","..","","..","","3.3","","3.2","","3.1","","3.0","","3.1","","2.9","","..","","..","","..","","..","","..","","2.9","a"
